CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME     CITY
    1      40.00      50.00       0.00       0.00    1236.00       0.00         New York City, USA
    2      45.00      68.00      10.00     912.00     967.00      90.00         London, UK
    3      45.00      70.00      30.00     825.00     870.00      90.00         Paris, France
    4      42.00      66.00      10.00      65.00     146.00      90.00         Tokyo, Japan
    5      42.00      68.00      10.00     727.00     782.00      90.00         Tianjin, China
    6      42.00      65.00      10.00      15.00      67.00      90.00         Moscow, Russia
    7      40.00      69.00      20.00     621.00     702.00      90.00         Istanbul, Turkey
    8      40.00      66.00      20.00     170.00     225.00      90.00         Minya, Egypt
    9      38.00      68.00      20.00     255.00     324.00      90.00         Sydney, Australia
   10      38.00      70.00      10.00     534.00     605.00      90.00         Rio de Janeiro, Brazil
   11      35.00      66.00      10.00     357.00     410.00      90.00         Mumbai, India
   12      35.00      69.00      10.00     448.00     505.00      90.00         Buenos Aires, Argentina
   13      25.00      85.00      20.00     652.00     721.00      90.00         Rome, Italy
   14      22.00      75.00      30.00      30.00      92.00      90.00         Seoul, South Korea
   15      22.00      85.00      10.00     567.00     620.00      90.00         Mexico City, Mexico
   16      20.00      80.00      40.00     384.00     429.00      90.00         Lagos, Nigeria
   17      20.00      85.00      40.00     475.00     528.00      90.00         Berlin, Germany
   18      18.00      75.00      20.00      99.00     148.00      90.00         Jakarta, Indonesia
   19      15.00      75.00      20.00     179.00     254.00      90.00         Bangkok, Thailand
   20      15.00      80.00      10.00     278.00     345.00      90.00         Toronto, Canada
   21      30.00      50.00      10.00      10.00      73.00      90.00         Karachi, Pakistan
   22      30.00      52.00      20.00     914.00     965.00      90.00         Lima, Peru
   23      28.00      52.00      20.00     812.00     883.00      90.00         Johannesburg, South Africa
   24      28.00      55.00      10.00     732.00     777.00      90.00         Delhi, India
   25      25.00      50.00      10.00      65.00     144.00      90.00         Shanghai, China
   26      25.00      52.00      40.00     169.00     224.00      90.00         Los Angeles, USA
   27      25.00      55.00      10.00     622.00     701.00      90.00         Dhaka, Bangladesh
   28      23.00      52.00      10.00     261.00     316.00      90.00         Chicago, USA
   29      23.00      55.00      20.00     546.00     593.00      90.00         Kuala Lumpur, Malaysia
   30      20.00      50.00      10.00     358.00     405.00      90.00         Manila, Philippines
   31      20.00      55.00      10.00     449.00     504.00      90.00         Madrid, Spain
   32      10.00      35.00      20.00     200.00     237.00      90.00         Kiev, Ukraine
   33      10.00      40.00      30.00      31.00     100.00      90.00         Chiang Rai, Thailand
   34       8.00      40.00      40.00      87.00     158.00      90.00         Berlin, Germany
   35       8.00      45.00      20.00     751.00     816.00      90.00         Istanbul, Turkey
   36       5.00      35.00      10.00     283.00     344.00      90.00         Riyadh, Saudi Arabia
   37       5.00      45.00      10.00     665.00     716.00      90.00         Singapore
   38       2.00      40.00      20.00     383.00     434.00      90.00         Warsaw, Poland
   39       0.00      40.00      30.00     479.00     522.00      90.00         Barcelona, Spain
   40       0.00      45.00      20.00     567.00     624.00      90.00         Alexandria, Egypt
   41      35.00      30.00      10.00     264.00     321.00      90.00         Rio de Janeiro, Brazil
   42      35.00      32.00      10.00     166.00     235.00      90.00         Lima, Peru
   43      33.00      32.00      20.00      68.00     149.00      90.00         Canberra, Australia
   44      33.00      35.00      10.00      16.00      80.00      90.00         Bangkok, Thailand
   45      32.00      30.00      10.00     359.00     412.00      90.00         Kano, Nigeria
   46      30.00      30.00      10.00     541.00     600.00      90.00         Buenos Aires, Argentina
   47      30.00      32.00      30.00     448.00     509.00      90.00         Johannesburg, South Africa
   48      30.00      35.00      10.00    1054.00    1127.00      90.00         Seoul, South Korea
   49      28.00      30.00      10.00     632.00     693.00      90.00         Cairo, Egypt
   50      28.00      35.00      10.00    1001.00    1066.00      90.00         Shanghai, China
   51      26.00      32.00      10.00     815.00     880.00      90.00         Mexico City, Mexico
   52      25.00      30.00      10.00     725.00     786.00      90.00         Karachi, Pakistan
   53      25.00      35.00      10.00     912.00     969.00      90.00         Tokyo, Japan
   54      44.00       5.00      20.00     286.00     347.00      90.00         Moscow, Russia
   55      42.00      10.00      40.00     186.00     257.00      90.00         Beijing, China
   56      42.00      15.00      10.00      95.00     158.00      90.00         Mumbai, India
   57      40.00       5.00      30.00     385.00     436.00      90.00         New York City, USA
   58      40.00      15.00      40.00      35.00      87.00      90.00         Dhaka, Bangladesh
   59      38.00       5.00      30.00     471.00     534.00      90.00         Liverpool, UK
   60      38.00      15.00      10.00     651.00     740.00      90.00         Paris, France
   61      35.00       5.00      20.00     562.00     629.00      90.00         Los Angeles, USA
   62      50.00      30.00      10.00     531.00     610.00      90.00         Chicago, USA
   63      50.00      35.00      20.00     262.00     317.00      90.00         Kolkata, India
   64      50.00      40.00      50.00     171.00     218.00      90.00         Buenos Aires, Argentina
   65      48.00      30.00      10.00     632.00     693.00      90.00         Tehran, Iran
   66      48.00      40.00      10.00      76.00     129.00      90.00         Istanbul, Turkey
   67      47.00      35.00      10.00     826.00     875.00      90.00         Lagos, Nigeria
   68      47.00      40.00      10.00      12.00      77.00      90.00         Rio de Janeiro, Brazil
   69      45.00      30.00      10.00     734.00     777.00      90.00         Osaka, Japan
   70      45.00      35.00      10.00     916.00     969.00      90.00         Manila, Philippines
   71      95.00      30.00      30.00     387.00     456.00      90.00         Nan, Thailand
   72      95.00      35.00      20.00     293.00     360.00      90.00         Karachi, Pakistan
   73      53.00      30.00      10.00     450.00     505.00      90.00         Dhaka, Bangladesh
   74      92.00      30.00      10.00     478.00     551.00      90.00         Giza, Egypt
   75      53.00      35.00      50.00     353.00     412.00      90.00         Chiang Mai, Thailand
   76      45.00      65.00      20.00     997.00    1068.00      90.00         Padang, Indonesia
   77      90.00      35.00      10.00     203.00     260.00      90.00         Delhi, India
   78      88.00      30.00      10.00     574.00     643.00      90.00         Tehran, Iran
   79      88.00      35.00      20.00     109.00     170.00      90.00         Istanbul, Turkey
   80      87.00      30.00      10.00     668.00     731.00      90.00         Kolkata, India
   81      85.00      25.00      10.00     769.00     820.00      90.00         Mumbai, India
   82      85.00      35.00      30.00      47.00     124.00      90.00         Mexico City, Mexico
   83      75.00      55.00      20.00     369.00     420.00      90.00         Karachi, Pakistan
   84      72.00      55.00      10.00     265.00     338.00      90.00         Buenos Aires, Argentina
   85      70.00      58.00      20.00     458.00     523.00      90.00         Shanghai, China
   86      68.00      60.00      30.00     555.00     612.00      90.00         Beijing, China
   87      66.00      55.00      10.00     173.00     238.00      90.00         Lagos, Nigeria
   88      65.00      55.00      20.00      85.00     144.00      90.00         Moscow, Russia
   89      65.00      60.00      30.00     645.00     708.00      90.00         Delhi, India
   90      63.00      58.00      10.00     737.00     802.00      90.00         Dhaka, Bangladesh
   91      60.00      55.00      10.00      20.00      84.00      90.00         Aswan, Egypt
   92      60.00      60.00      10.00     836.00     889.00      90.00         Bangkok, Thailand
   93      67.00      85.00      20.00     368.00     441.00      90.00         Kolkata, India
   94      65.00      85.00      40.00     475.00     518.00      90.00         Karachi, Pakistan
   95      65.00      82.00      10.00     285.00     336.00      90.00         Buenos Aires, Argentina
   96      62.00      80.00      30.00     196.00     239.00      90.00         Tehran, Iran
   97      60.00      80.00      10.00      95.00     156.00      90.00         Istanbul, Turkey
   98      60.00      85.00      30.00     561.00     622.00      90.00         Mumbai, India
   99      58.00      75.00      20.00      30.00      84.00      90.00         Mexico City, Mexico
  100      55.00      80.00      10.00     743.00     820.00      90.00         Manila, Philippines
  101      55.00      85.00      20.00     647.00     726.00      90.00         Johannesburg, South Africa
