date, pm25, pm10
2022/10/1, 19, 3
2022/10/2, 15, 5
2022/10/3, 22, 6
2022/10/4, 25, 9
2022/10/5, 35, 16
2022/10/6, 60, 16
2022/10/7, 59, 11
2022/10/8, 44, 15
2022/10/9, 57, 9
2022/10/10, 39, 11
2022/10/11, 44, 23
2022/10/12, 76, 22
2022/10/13, 72, 26
2022/10/14, 82, 25
2022/10/15, 79, 36
2022/10/16, 99, 43
2022/10/17, 111, 45
2022/10/18, 114, 49
2022/10/19, 123, 
2022/7/1, 15, 7
2022/7/2, 29, 
2022/7/4, 23, 6
2022/7/5, 23, 5
2022/7/6, 19, 5
2022/7/7, 21, 6
2022/7/8, 25, 7
2022/7/9, 28, 4
2022/7/10, 17, 6
2022/7/11, 24, 9
2022/7/12, 36, 8
2022/7/13, 32, 5
2022/7/14, 23, 6
2022/7/15, 26, 7
2022/7/16, 30, 7
2022/7/17, 31, 10
2022/7/18, 41, 10
2022/7/19, 41, 10
2022/7/20, 38, 9
2022/7/21, 41, 8
2022/7/22, 32, 3
2022/7/23, 14, 7
2022/7/24, 30, 11
2022/7/25, 49, 16
2022/7/26, 60, 18
2022/7/27, 65, 21
2022/7/28, 72, 26
2022/7/29, 81, 29
2022/7/30, 86, 11
2022/7/31, 43, 12
2022/8/1, 50, 11
2022/8/2, 45, 8
2022/8/3, 36, 4
2022/8/4, 18, 6
2022/8/5, 25, 5
2022/8/6, 23, 5
2022/8/7, 23, 5
2022/8/8, 21, 3
2022/8/9, 14, 5
2022/8/10, 19, 6
2022/8/11, 24, 7
2022/8/12, 28, 7
2022/8/13, 29, 12
2022/8/14, 48, 10
2022/8/15, 42, 8
2022/8/16, 32, 5
2022/8/17, 22, 5
2022/8/18, 20, 7
2022/8/19, 32, 12
2022/8/20, 50, 18
2022/8/21, 64, 11
2022/8/22, 43, 5
2022/8/23, 23, 6
2022/8/24, 25, 12
2022/8/25, 42, 15
2022/8/26, 58, 6
2022/8/27, 27, 6
2022/8/28, 27, 14
2022/8/29, 54, 18
2022/8/30, 65, 18
2022/8/31, 64, 19
2022/9/1, 67, 27
2022/9/2, 83, 22
2022/9/3, 73, 13
2022/9/4, 51, 18
2022/9/5, 65, 13
2022/9/6, 49, 23
2022/9/7, 75, 43
2022/9/8, 110, 19
2022/9/9, 63, 8
2022/9/10, 31, 2
2022/9/11, 11, 7
2022/9/12, 34, 10
2022/9/13, 43, 8
2022/9/14, 35, 17
2022/9/15, 59, 10
2022/9/16, 40, 9
2022/9/17, 37, 8
2022/9/18, 36, 8
2022/9/19, 34, 15
2022/9/20, 53, 10
2022/9/21, 40, 21
2022/9/22, 71, 13
2022/9/23, 48, 10
2022/9/24, 41, 6
2022/9/25, 24, 4
2022/9/26, 17, 8
2022/9/27, 31, 23
2022/9/28, 74, 30
2022/9/29, 87, 28
2022/9/30, 82, 4
2022/4/1, 139, 25
2022/4/2, 68, 7
2022/4/3, 28, 20
2022/4/4, 71, 42
2022/4/5, 112, 52
2022/4/6, 136, 61
2022/4/7, 156, 74
2022/4/8, 172, 68
2022/4/9, 166, 60
2022/4/10, 156, 55
2022/4/11, 142, 57
2022/4/12, 146, 61
2022/4/13, 157, 79
2022/4/14, 178, 70
2022/4/15, 168, 
2022/4/18, 121, 20
2022/4/19, 67, 
2022/4/21, 87, 
2022/4/25, 124, 32
2022/4/26, 92, 35
2022/4/27, 96, 34
2022/4/28, 95, 
2022/5/2, 86, 24
2022/5/3, 78, 35
2022/5/4, 97, 41
2022/5/5, 106, 43
2022/5/6, 113, 16
2022/5/7, 58, 10
2022/5/8, 44, 11
2022/5/9, 46, 12
2022/5/10, 50, 6
2022/5/11, 24, 9
2022/5/12, 37, 21
2022/5/13, 70, 18
2022/5/14, 64, 20
2022/5/15, 68, 23
2022/5/16, 75, 14
2022/5/17, 52, 9
2022/5/18, 38, 11
2022/5/19, 50, 8
2022/5/20, 35, 4
2022/5/21, 18, 16
2022/5/22, 56, 22
2022/5/23, 72, 7
2022/5/24, 29, 15
